	Name	time_utc	x	y

0	sirius	2019-04-26T00:00:00.000	1234.63954434	806.84659387

1	sirius	2019-04-26T01:00:00.000	1240.19267348	803.02615705

2	sirius	2019-04-26T07:25:00.000	1245.75361464	799.21060381

3	sirius	2019-04-26T07:31:00.000	1251.32255915	795.39981133

4	sirius	2019-04-26T07:43:00.000	1256.89969916	791.59365714

5	sirius	2019-04-26T07:49:00.000	1262.48522771	787.79201901

6	sirius	2019-04-26T07:25:00.000	1268.07933872	783.99477504

7	sirius	2019-04-26T08:07:00.000	1273.68222706	780.20180356

8	sirius	2019-04-26T08:13:00.000	1279.29408851	776.41298314

44	sirius	2019-04-26T19:32:40.000	1489.04690575	641.76530163

45	sirius	2019-04-26T19:33:40.000	1495.13988802	638.04547413

46	sirius	2019-04-26T19:34:00.000	1501.25029572	634.32520479

47	sirius	2019-04-26T20:20:00.000	1507.37838703	630.60436894

48	sirius	2019-04-26T21:07:00.000	1513.52442250	626.88284147
