	Name	time_utc	x	y	E	N	U
0	sirius	2022-09-09T10:22:00.000	981	1102	78563877.32805172	-55783494.20272173	26756661.85677417
1	sirius	2022-09-09T10:25:00.000	996.5	1086	77838376.63539945	-56396032.12487893	27580331.45803951
2	sirius	2022-09-09T10:29:00.000	1017	1070	76850203.82592200	-57203809.71953386	28666536.68453182
3	sirius	2022-09-09T10:34:00.000	1042	1048	75581924.16660063	-58198817.08497398	30004506.81454324
4	sirius	2022-09-09T10:43:00.000 1087	1010	73208291.06781267	-59947195.51003319	32355523.01249783
5	sirius	2022-09-09T10:52:00.000	1133.5	971	70721157.35216331	-61638456.75070949	34629735.08650433
6	sirius	2022-09-09T11:01:00.000	1181.5	935	68124379.00162055	-63269978.71003850	36823617.14545216
7	sirius	2022-09-09T11:10:00.000	1229	896.5	65421981.98888808	-64839231.90867209	38933767.83897295
8	sirius	2022-09-09T11:19:00.000	1277.5	861.5	62618156.03574145	-66343783.40653265	40956915.63082626
9	sirius	2022-09-09T11:31:00.000	1342.5	814	58729478.18218375	-68245188.17788203	43513706.84064820
10	sirius	2022-09-09T11:40:00.000	1392	777	55706148.75350023	-69589877.83529045	45321891.99407122
0	moon	2022-08-12T01:55:00.000	696	1513.5	89542147.70576045	-44494155.27302427	1572873.41505409
1	moon	2022-08-12T02:13:00.000	784	1421.5	87199155.76978876	-48448759.79558491	7001778.86724727
2	moon	2022-08-12T02:37:00.000	897	1309	83290342.07834764	-53541305.75061806	14001696.14691970
3	moon	2022-08-12T03:07:00.000	1039	1176.5	77195206.73011434	-59540840.87426595	22266304.71991817
4	moon	2022-08-12T03:31:00.000	1153.5	1077	71408467.90225282	-63984133.15487932	28405306.12881339
5	moon	2022-08-12T04:01:00.000	1299.5	957.5	63129584.73947033	-69012933.75189774	35381782.11422101
6	moon	2022-08-12T04:31:00.000	1457	841	53810354.21480129	-73377166.64181927	41475742.24647827
7	moon	2022-08-12T05:01:00.000	1623	730	43598326.34936026	-77000156.55234742	46584995.76525328
8	moon	2022-08-12T05:31:00.000	1812.5	612.5	32657286.34491366	-79817204.00721928	50623271.25992804
9	moon	2022-08-12T06:01:00.000	2027	491	21164479.63531580	-81776907.46641384	53521978.72833077
10	moon	2022-08-12T06:19:00.000	2176.5	415	14081657.25330602	-82525176.19147560	54692798.64448632
0	jupiter	2022-08-12T05:07:00.000	272	944	92949173.93463485	-19191195.56150296	31498398.01940959
1	jupiter	2022-08-12T05:43:00.000	505	759	86036595.25819434	-27622117.95088723	42833665.22123602
2	jupiter	2022-08-12T06:01:00.000	615.5	672	81768507.56980777	-31568146.61139850	48138999.67103115
3	jupiter	2022-08-12T06:19:00.000	723.5	587	76993402.90787975	-35301543.67018785	53158413.47488385
4	jupiter	2022-08-12T06:37:00.000	829	501	71740888.69253834	-38799161.71163142	57860780.67291782
5	jupiter	2022-08-12T06:55:00.000	936.5	414.5	66043532.74377077	-42039315.22237124	62216941.08807170
6	jupiter	2022-08-12T07:07:00.000	1008.5	355.5	62015499.21490641	-44046391.62978762	64915277.41234197
